0,4291.28
1,111376.24999999997
2,536734.8099999997
3,2938040.3800000213
4,5071701.470000002
5,4923162.209999971
6,4172293.8600000096
7,7314251.849999917
8,4644079.5700000115
9,3972141.799999994
10,6228878.989999986
11,4945353.579999988
12,7073024.049999968
13,6731944.4599999795
14,6829003.039999985
15,4830431.3900000015
16,3434783.7199999997
17,3476644.309999999
18,3697265.1600000025
19,3023578.960000001
20,3659061.930000003
21,3423145.9100000015
22,3326175.9499999997
23,3382271.549999999
24,3178450.590000001
25,2559158.4899999993
26,3178988.410000001
27,2800856.8700000006
28,2540298.010000001
29,2769926.16
30,2501380.830000002
31,2011497.3800000008
32,2020754.4799999997
33,2403798.38
34,2173033.020000002
35,2212247.520000001
36,1147141.7100000004
37,1504667.5400000003
38,851785.73
39,436146.74999999994
40,350756.37
41,227897.53
42,302072.14
43,68074.81
44,105453.38
45,179307.40000000002
46,36478.18
47,37717.08
49,78268.89
50,39788.57
51,121487.63
53,42393.35
54,129041.15
55,86879.37
56,44618.98
59,46677.36
76,60349.17
82,65287.63
